"(2, 2, 2, 2, 3)",12396
"(2, 2, 2, 2, 4)",14384
"(2, 2, 2, 2, 5)",13186
"(2, 2, 2, 2, 6)",10677
"(2, 2, 2, 2, 7)",10268
"(2, 2, 2, 2, 8)",16490
"(2, 2, 2, 2, 9)",14263
"(2, 2, 2, 2, 10)",14492
"(2, 2, 2, 2, 11)",14000
"(2, 2, 2, 2, 12)",16733
"(2, 2, 2, 2, 13)",11791
"(2, 2, 2, 2, 14)",13968
"(2, 2, 2, 3, 3)",15510
"(2, 2, 2, 3, 4)",70437
"(2, 2, 2, 3, 5)",54931
"(2, 2, 2, 3, 6)",65364
"(2, 2, 2, 3, 7)",61648
"(2, 2, 2, 3, 8)",63996
"(2, 2, 2, 3, 9)",56548
"(2, 2, 2, 3, 10)",66183
"(2, 2, 2, 3, 11)",68474
"(2, 2, 2, 3, 12)",65180
"(2, 2, 2, 3, 13)",56895
"(2, 2, 2, 3, 14)",66470
"(2, 2, 2, 4, 4)",15328
"(2, 2, 2, 4, 5)",55880
"(2, 2, 2, 4, 6)",58804
"(2, 2, 2, 4, 7)",58152
"(2, 2, 2, 4, 8)",63366
"(2, 2, 2, 4, 9)",64582
"(2, 2, 2, 4, 10)",73148
"(2, 2, 2, 4, 11)",60322
"(2, 2, 2, 4, 12)",56296
"(2, 2, 2, 4, 13)",67967
"(2, 2, 2, 4, 14)",62965
"(2, 2, 2, 5, 5)",17010
"(2, 2, 2, 5, 6)",62246
"(2, 2, 2, 5, 7)",54961
"(2, 2, 2, 5, 8)",61086
"(2, 2, 2, 5, 9)",70275
"(2, 2, 2, 5, 10)",59211
"(2, 2, 2, 5, 11)",61094
"(2, 2, 2, 5, 12)",60471
"(2, 2, 2, 5, 13)",57342
"(2, 2, 2, 5, 14)",66456
"(2, 2, 2, 6, 6)",16935
"(2, 2, 2, 6, 7)",51004
"(2, 2, 2, 6, 8)",59756
"(2, 2, 2, 6, 9)",68459
"(2, 2, 2, 6, 10)",63661
"(2, 2, 2, 6, 11)",57384
"(2, 2, 2, 6, 12)",74564
"(2, 2, 2, 6, 13)",60484
"(2, 2, 2, 6, 14)",62757
"(2, 2, 2, 7, 7)",15239
"(2, 2, 2, 7, 8)",61465
"(2, 2, 2, 7, 9)",62334
"(2, 2, 2, 7, 10)",58832
"(2, 2, 2, 7, 11)",58326
"(2, 2, 2, 7, 12)",62282
"(2, 2, 2, 7, 13)",65333
"(2, 2, 2, 7, 14)",62150
"(2, 2, 2, 8, 8)",15799
"(2, 2, 2, 8, 9)",64775
"(2, 2, 2, 8, 10)",69396
"(2, 2, 2, 8, 11)",52458
"(2, 2, 2, 8, 12)",56783
"(2, 2, 2, 8, 13)",57800
"(2, 2, 2, 8, 14)",72029
"(2, 2, 2, 9, 9)",17726
"(2, 2, 2, 9, 10)",65403
"(2, 2, 2, 9, 11)",52273
"(2, 2, 2, 9, 12)",64252
"(2, 2, 2, 9, 13)",66815
"(2, 2, 2, 9, 14)",60606
"(2, 2, 2, 10, 10)",21843
"(2, 2, 2, 10, 11)",48924
"(2, 2, 2, 10, 12)",56634
"(2, 2, 2, 10, 13)",67919
"(2, 2, 2, 10, 14)",77583
"(2, 2, 2, 11, 11)",22267
"(2, 2, 2, 11, 12)",59752
"(2, 2, 2, 11, 13)",61607
"(2, 2, 2, 11, 14)",61274
"(2, 2, 2, 12, 12)",31043
"(2, 2, 2, 12, 13)",63985
"(2, 2, 2, 12, 14)",70686
"(2, 2, 2, 13, 13)",23087
"(2, 2, 2, 13, 14)",76091
"(2, 2, 2, 14, 14)",27311
"(2, 2, 3, 3, 3)",18391
"(2, 2, 3, 3, 4)",71333
"(2, 2, 3, 3, 5)",69552
"(2, 2, 3, 3, 6)",67656
"(2, 2, 3, 3, 7)",66633
"(2, 2, 3, 3, 8)",57143
"(2, 2, 3, 3, 9)",63641
"(2, 2, 3, 3, 10)",63784
"(2, 2, 3, 3, 11)",67205
"(2, 2, 3, 3, 12)",64725
"(2, 2, 3, 3, 13)",60762
"(2, 2, 3, 3, 14)",73203
"(2, 2, 3, 4, 4)",56397
"(2, 2, 3, 4, 5)",52881
